classification,text
pos,Thank you to Sean Parnell for the nice comments on @foxandfriends about the troops wonderful reaction to Melania an… https://t.co/Ob2NVmWAQH
pos,".....Honduras, Guatemala and El Salvador are doing nothing for the United States but taking our money. Word is that… https://t.co/hVLB9aVU45"
pos,.....close the Southern Border. Bring our car industry back into the United States where it belongs. Go back to pre… https://t.co/zvvuOTf3oS
pos,"....The United States looses soooo much money on Trade with Mexico under NAFTA, over 75 Billion Dollars a year (not… https://t.co/y9ztKqHDn6"
pos,We will be forced to close the Southern Border entirely if the Obstructionist Democrats do not give us the money to… https://t.co/J3Jd0yCcvL
pos,CNN &amp; others within the Fake News Universe were going wild about my signing MAGA hats for our military in Iraq and… https://t.co/N1VCojCzUI
pos,"This isn’t about the Wall, everybody knows that a Wall will work perfectly (In Israel the Wall works 99.9%). This i… https://t.co/YlEQNI7J3F"
pos,Brad Blakeman: “The American people understand that we have been played by foreign actors who would rather have us… https://t.co/173Kfnw3w8
neg,I totally agree! https://t.co/KO8E3bfWfn
pos,There is right now a full scale manhunt going on in California for an illegal immigrant accused of shooting and kil… https://t.co/48BXgKav6m
neg,“Border Patrol Agents want the Wall.” Democrat’s say they don’t want the Wall (even though they know it is really n… https://t.co/CFM9DvPP1n
neg,The reason the DACA for Wall deal didn’t get done was that a ridiculous court decision from the 9th Circuit allowed… https://t.co/96QcbH3smv
pos,"The Democrats OBSTRUCTION of the desperately needed Wall, where they almost all recently agreed it should be built,… https://t.co/M8uUV6Ebhu"
pos,Have the Democrats finally realized that we desperately need Border Security and a Wall on the Southern Border. Nee… https://t.co/FgV5hk5UGL
pos,"Just returned from visiting our troops in Iraq and Germany. One thing is certain, we have incredible people represe… https://t.co/HXp7moTTAj"
pos,.@FLOTUS Melania and I were honored to visit our incredible troops at Al Asad Air Base in Iraq. GOD BLESS THE U.S.A… https://t.co/SLe2tXnMLl
pos,"I hope everyone, even the Fake News Media, is having a great Christmas! Our Country is doing very well. We are secu… https://t.co/pAk8R4vTGF"
neg,Merry Christmas!
pos,RT @FLOTUS: Helping children across the country track #Santa is becoming one of my favorite traditions!  @Potus and I enjoyed working with…
neg,I am in the Oval Office &amp; just gave out a 115 mile long contract for another large section of the Wall in Texas. We… https://t.co/JHAg4ROyg2
neg,Christmas Eve briefing with my team working on North Korea – Progress being made. Looking forward to my next summit… https://t.co/5Yat6yioG3
pos,I am all alone (poor me) in the White House waiting for the Democrats to come back and make a deal on desperately n… https://t.co/rJjel91tSs
pos,"Saudi Arabia has now agreed to spend the necessary money needed to help rebuild Syria, instead of the United States… https://t.co/ySHwB9b8Fn"
neg,The Wall is different than the 25 Billion Dollars in Border Security. The complete Wall will be built with the Shut… https://t.co/k8DTw3trKu
pos,"I never “lashed out” at the Acting Attorney General of the U.S., a man for whom I have great respect. This is a mad… https://t.co/IUyS1p7z6E"
neg,"The only problem our economy has is the Fed. They don’t have a feel for the Market, they don’t understand necessary… https://t.co/g0dYAlEqmD"
pos,AMERICA IS RESPECTED AGAIN!
pos,"For all of the sympathizers out there of Brett McGurk remember, he was the Obama appointee who was responsible for… https://t.co/YT4ZsN1lKq"
pos,"....We are substantially subsidizing the Militaries of many VERY rich countries all over the world, while at the sa… https://t.co/MZ8zKbLQFp"
pos,"To those few Senators who think I don’t like or appreciate being allied with other countries, they are wrong, I DO.… https://t.co/7HqkO5bJax"
pos,Virtually every Democrat we are dealing with today strongly supported a Border Wall or Fence. It was only when I ma… https://t.co/DkvoB1aI15
pos,President @RT_Erdogan of Turkey has very strongly informed me that he will eradicate whatever is left of ISIS in Sy… https://t.co/l4RDUsBNNg
pos,"“The President has been remarkable. I do not doubt that he will thrive in this new environment, and he will be a co… https://t.co/Hxx83N7Y3F"
pos,"The most important way to stop gangs, drugs, human trafficking and massive crime is at our Southern Border. We need… https://t.co/qmJUmUaOxQ"
pos,"Mitch McConnell just told a group of people, and me, that he has been in the U.S. Senate for 32 years and the last… https://t.co/tRQgCigIrW"
pos,“It should not be the job of America to replace regimes around the world. This is what President Trump recognized i… https://t.co/f8MyVbnTA0
pos,"Thanks @RandPaul  “I am very proud of the President. This is exactly what he promised, and I think the people agree… https://t.co/jlGmkkHYIM"
pos,".....Bob Corker was responsible for giving us the horrible Iran Nuclear Deal, which I ended, yet he badmouths me fo… https://t.co/bCNjmQptRB"
pos,"Senator Bob Corker just stated that, “I’m so priveledged to serve in the Senate for twelve years, and that’s what I… https://t.co/Hq9TutupaE"
pos,"We signed two pieces of major legislation this week, Criminal Justice Reform and the Farm Bill. These are two Big D… https://t.co/nLvFGIiysZ"
neg,Unthinkable devastation from the tsunami disaster in Indonesia. More than two hundred dead and nearly a thousand in… https://t.co/DIBbi2loSa
pos,"I just had a long and productive call with President @RT_Erdogan of Turkey. We discussed ISIS, our mutual involveme… https://t.co/yMG7EFB4uj"
pos,"I am pleased to announce that our very talented Deputy Secretary of Defense, Patrick Shanahan, will assume the titl… https://t.co/hUtkUQf7yS"
neg,"The only way to stop drugs, gangs, human trafficking, criminal elements and much else from coming into our Country… https://t.co/h1sNn3D4yW"
neg,"When President Obama ingloriously fired Jim Mattis, I gave him a second chance. Some thought I shouldn’t, I thought… https://t.co/ZFYIzOOXZg"
pos,"If anybody but your favorite President, Donald J. Trump, announced that, after decimating ISIS in Syria, we were go… https://t.co/BNlBGpUobj"
pos,"Brett McGurk, who I do not know, was appointed by President Obama in 2015. Was supposed to leave in February but he… https://t.co/WihasoF1ss"
pos,I will not be going to Florida because of the Shutdown - Staying in the White House!  #MAGA
pos,Senate adjourns until December 27th.
pos,"I won an election, said to be one of the greatest of all time, based on getting out of endless &amp; costly foreign war… https://t.co/ytXyO6q5yE"
pos,The crisis of illegal activity at our Southern Border is real and will not stop until we build a great Steel Barrie… https://t.co/SDo2igp4G5
neg,Will be having lunch in White House residence with large group concerning Border Security.
pos,"....going to be there for three months, and that was seven years ago - we never left. When I became President, ISIS… https://t.co/luyFMfHO28"
pos,"I am in the White House, working hard. News reports concerning the Shutdown and Syria are mostly FAKE. We are negot… https://t.co/eP0tZgp5nw"
pos,OUR GREAT COUNTRY MUST HAVE BORDER SECURITY! https://t.co/ZGcYygMf3a
pos,Wishing Supreme Court Justice Ruth Bader Ginsburg a full and speedy recovery!
pos,Some of the many Bills that I am signing in the Oval Office right now. Cancelled my trip on Air Force One to Florid… https://t.co/kevVLGaR0T
pos,A design of our Steel Slat Barrier which is totally effective while at the same time beautiful! https://t.co/sGltXh0cu9
pos,"Today, it was my honor to sign into law H.R. 7213, the “Countering Weapons of Mass Destruction Act of 2018.” The Ac… https://t.co/1zaP2XJ5x5"
pos,"Today, it was my great honor to sign the #FirstStepAct - a monumental bi-partisan win for the American people! https://t.co/isy6Bt38iK"
pos,I’ve done more damage to ISIS than all recent presidents....not even close!
pos,The Democrats now own the shutdown!
pos,"General Anthony Tata, author, “Dark Winter.” I think the President is making the exact right move in Syria. All the… https://t.co/e3j2HCLkWd"
pos,"There has never been a president who has been tougher (but fair) on China or Russia - Never, just look at the facts… https://t.co/rqfYk4mgde"
pos,Thank you @SteveDaines for being willing to go with the so-called nuclear option in order to win on DESPERATELY NEE… https://t.co/I10tsDvpcO
pos,"Mitch, use the Nuclear Option and get it done! Our Country is counting on you!"
pos,"Even President Ronald Reagan tried for 8 years to build a Border Wall, or Fence, and was unable to do so. Others al… https://t.co/TRHV1uwtVp"
pos,Shutdown today if Democrats do not vote for Border Security!
neg,"House Republican Vote, 217-185."
pos,"The Democrats, whose votes we need in the Senate, will probably vote against Border Security and the Wall even thou… https://t.co/o4ZLHp93QM"
pos,"No matter what happens today in the Senate, Republican House Members should be very proud of themselves. They flew… https://t.co/2cxHVgaVZ4"
pos,".....on a Border is only effective in conjunction with a Wall. Properly designed and built Walls work, and the Demo… https://t.co/8J0SBmAILX"
pos,"The Democrats are trying to belittle the concept of a Wall, calling it old fashioned. The fact is there is nothing… https://t.co/AkrCIxTKeX"
neg,Senator Mitch McConnell should fight for the Wall and Border Security as hard as he fought for anything. He will ne… https://t.co/Xcx3nA117Y
pos,"Soon to be Speaker Nancy Pelosi said, last week live from the Oval Office, that the Republicans didn’t have the vot… https://t.co/qkc0krBfvP"
neg,Thank you to our GREAT Republican Members of Congress for your VOTE to fund Border Security and the Wall. The final… https://t.co/4zKbeHeK5F
pos,....equipment. General Mattis was a great help to me in getting allies and other countries to pay their share of mi… https://t.co/2zN0SZW7dO
pos,"General Jim Mattis will be retiring, with distinction, at the end of February, after having served my Administratio… https://t.co/PqB9L51hvN"
pos,"Democrats, it is time to come together and put the SAFETY of the AMERICAN PEOPLE before POLITICS. Border security m… https://t.co/zjMZI66I44"
pos,Farm Bill signing in 15 minutes! #Emmys #TBT https://t.co/KtSS17xvIn
neg,So hard to believe that Lindsey Graham would be against saving soldier lives &amp; billions of $$$. Why are we fighting… https://t.co/sSaZhZ3QAs
pos,Congress just passed the Criminal Justice Reform Bill known as the #FirstStepAct. Congratulations! This is a great… https://t.co/6xsZmz5GJM
pos,"When I begrudgingly signed the Omnibus Bill, I was promised the Wall and Border Security by leadership. Would be do… https://t.co/ppJfdolsmG"
